ABSA GROUP,"336,720",0,0,"336,720",ZAR,"3,218,460.96",0.08
AFRICAN RAINBOW MINERALS,"44,658","61,258","37,412","68,504",ZAR,"992,449.57",0.03
ANGLO AMERICAN PLATINUM,"23,470","6,352","2,899","26,923",ZAR,"3,064,718.02",0.08
ANGLOGOLD ASHANTI REG.,"206,588","17,368","15,220","208,736",ZAR,"4,298,967.69",0.11
ASPEN PHARMACARE HOLDINGS,"195,853","83,070","89,895","189,028",ZAR,"2,658,235.91",0.07
BID CORPORATION,"154,205",0,0,"154,205",ZAR,"3,153,956.08",0.08
BIDVEST GROUP,"154,253","62,624","58,559","158,318",ZAR,"1,879,282.31",0.05
CAPITEC BANK HOLDINGS,"31,285","12,366","3,760","39,891",ZAR,"5,098,349.83",0.13
CLICKS GROUP,"116,195",0,0,"116,195",ZAR,"2,297,181.01",0.06
DISCOVERY,"204,830","35,094","38,945","200,979",ZAR,"1,807,929.54",0.05
FIRSTRAND,"2,296,943","307,780","188,657","2,416,066",ZAR,"9,204,061.11",0.24
GOLD FIELDS,"436,370","32,431","35,911","432,890",ZAR,"4,723,274.81",0.12
GROWTHPOINT PROPERTIES,"1,490,945","367,560",0,"1,858,505",ZAR,"1,789,800.90",0.05
HARMONY GOLD MINING,"235,408",0,0,"235,408",ZAR,"982,341.67",0.03
"",31.12.2020 /,Käufe,Verkäufe,31.12.2021 /,Währung,Marktwert fortune totale du
JINYU BIO TECHNOLOGY 'A',"36,100",0,"36,100",0,CNY,0.00 0.00
JIUGUI LIQUOR 'A',0,"12,500",0,"12,500",CNY,"416,773.10 0.01"
JOINCARE PHARMACEUTICAL GRP 'A',"69,300",0,0,"69,300",CNY,"139,614.01 0.00"
JOINN LABORATORIES 'A',0,"15,000",0,"15,000",CNY,"271,669.38 0.01"
"",31.12.2020 /,Käufe,Verkäufe,31.12.2021 /,Währung,Marktwert fortune totale du
"",Gesamtsumme,,,Gesamtsumme,,(en / in USD) compartiment /
"",zum 31.12.2020,,,zum 31.12.2021,,% des Vermögens
"",,,,,,des Teilvermögens
JOINTOWN PHARMACEUTICAL 'A',"53,600",0,0,"53,600",CNY,"123,795.07 0.00"
JONJEE HI-TECH INDUST. & COMM. 'A',"30,200",0,0,"30,200",CNY,"179,919.52 0.00"
JOYOUNG 'A',"61,030",0,"61,030",0,CNY,0.00 0.00
JUEWEI FOOD 'A',"16,200",0,0,"16,200",CNY,"173,682.94 0.00"
KANZHUN -ADR-,0,"31,752",0,"31,752",USD,"1,107,509.76 0.03"
KINGFA SCI & TECH 'A',"142,100",0,"95,000","47,100",CNY,"92,967.74 0.00"
KUANG-CHI TECHNOLOGIES 'A',0,"87,600",0,"87,600",CNY,"330,009.93 0.01"
KUNLUN TECH 'A',"4,615",0,0,"4,615",CNY,"16,763.07 0.00"
KWEICHOW MOUTAI 'A',"36,085","3,400","3,400","36,085",CNY,"11,606,768.07 0.30"
LB GROUP 'A',"53,800",0,0,"53,800",CNY,"241,338.81 0.01"
LBX PHARMACY CHAIN J.S. 'A',"14,280",0,0,"14,280",CNY,"110,639.46 0.00"
LENS TECHNOLOGY 'A',"112,400",0,0,"112,400",CNY,"405,272.44 0.01"
LEPU MEDICAL TECH. (BEIJING) 'A',"60,300",0,0,"60,300",CNY,"214,107.86 0.01"
LEYARD OPTOELEC 'A',"108,300",0,0,"108,300",CNY,"174,173.89 0.00"
LIAONING CHENG DA 'A',"49,900",0,"49,900",0,CNY,0.00 0.00
LINGYI ITECH (GUANDONG) 'A',"197,700",0,0,"197,700",CNY,"228,304.89 0.01"
LIVZON PHARMACEUTICAL GROUP 'A',"22,200",0,0,"22,200",CNY,"140,061.18 0.00"
LONGI GREEN ENERGY TECH. 'A',"105,100","42,040",0,"147,140",CNY,"1,990,071.83 0.05"
LUENMEI QUANTUM 'A',"192,293",0,"192,293",0,CNY,0.00 0.00
LUXSHARE PRECISION INDUSTRY 'A',"210,959",0,0,"210,959",CNY,"1,628,523.00 0.04"
LUZHOU LAOJIAO 'A',"45,800","9,600","9,500","45,900",CNY,"1,828,330.92 0.05"
MANGO EXCELLENT 'A',"43,400",0,0,"43,400",CNY,"389,644.29 0.01"
MAXSCEND MICROELECTRONICS 'A',"6,400","7,200","3,400","10,200",CNY,"523,013.57 0.01"
MEINIAN ONEHEALTH 'A',"90,600",0,0,"90,600",CNY,"111,590.85 0.00"
METALLURGICAL 'A',"656,500",0,0,"656,500",CNY,"394,515.65 0.01"
MIDEA GROUP 'A',0,"100,400","100,400",0,CNY,0.00 0.00
MING YANG SMART ENERGY 'A',0,"86,900",0,"86,900",CNY,"355,869.71 0.01"
MONTAGE TECHNOLOGY 'A',0,"29,000",0,"29,000",CNY,"381,623.73 0.01"
MUYUAN FOODS 'A',"108,880","43,552",0,"152,432",CNY,"1,276,211.65 0.03"
NANJI E-COMMERCE 'A',"69,000",0,"69,000",0,CNY,0.00 0.00
NANJING KING-FRIEND 'A',"23,140","6,942",0,"30,082",CNY,"198,237.92 0.01"
NANJING SECURITIES 'A',"91,700",0,0,"91,700",CNY,"142,584.96 0.00"
NARI TECHNOLOGY 'A',"141,100","28,220",0,"169,320",CNY,"1,063,468.39 0.03"
NATIONAL SILICON IND. GRP 'A',0,"77,292",0,"77,292",CNY,"313,127.72 0.01"
NAURA TECHNOLOGY 'A',"9,700","10,300","6,100","13,900",CNY,"756,832.97 0.02"
NAVINFO 'A',"45,700",0,0,"45,700",CNY,"114,153.70 0.00"
NEW CHINA LIFE INSURANCE 'A',"48,000",0,0,"48,000",CNY,"292,818.31 0.01"
NEW CHINA LIFE INSURANCE 'H',"422,200","127,300","92,100","457,400",HKD,"1,223,250.45 0.03"
NEW HOPE LIUHE 'A',"125,600",0,0,"125,600",CNY,"299,743.37 0.01"
NINESTAR 'A',"24,100",0,0,"24,100",CNY,"180,597.65 0.00"
NINGBO JOYSON ELECTRONIC 'A',"78,800",0,0,"78,800",CNY,"271,635.80 0.01"
NINGBO TUOPU GROUP 'A',0,"36,500",0,"36,500",CNY,"303,528.50 0.01"
NINGXIA BAOFENG ENERGY GRP 'A',0,"152,600",0,"152,600",CNY,"415,656.90 0.01"
NONGFU SPRING 'H' 144A/S,0,"913,000","59,000","854,000",HKD,"5,635,810.92 0.15"
NORTH INDUSTRIES GROUP 'A',0,"77,164",0,"77,164",CNY,"322,900.33 0.01"
NORTHEAST SECURITIES 'A',"89,000",0,0,"89,000",CNY,"122,607.00 0.00"
OFFCN EDUCATION TECHNOLOGY 'A',"69,100",0,"69,100",0,CNY,0.00 0.00
OFFSHORE OIL ENGINEERING 'A',"640,700","1,964,800","1,516,100","1,089,400",CNY,"787,986.96 0.02"
OFILM GROUP 'A',"55,500",0,"55,500",0,CNY,0.00 0.00
OPPEIN HOME GROUP 'A',"12,440",0,0,"12,440",CNY,"287,900.98 0.01"
ORIENT SECURITIES 'A',"171,300",0,0,"171,300",CNY,"396,173.65 0.01"
"",31.12.2020 /,Käufe,Verkäufe,31.12.2021 /,Währung,Marktwert fortune totale du
"",Gesamtsumme,,,Gesamtsumme,,(en / in USD) compartiment /
"",zum 31.12.2020,,,zum 31.12.2021,,% des Vermögens
"",,,,,,des Teilvermögens
ORIENTAL PEARL GROUP 'A',"80,300",0,"80,300",0,CNY,0.00 0.00
OVCTEK CHINA 'A',"19,350","7,739",0,"27,089",CNY,"243,842.03 0.01"
PANGANG GRP VANADI.TITAN.& RES. 'A',"259,100",0,0,"259,100",CNY,"158,142.19 0.00"
PEOPLE'S INSURANCE COMP. GRP 'H',"4,591,000",0,"1,040,000","3,551,000",HKD,"1,074,919.25 0.03"
PERFECT WORLD 'A',"61,800",0,0,"61,800",CNY,"196,937.82 0.01"
PETROCHINA 'A',"1,002,500","3,824,900","3,404,100","1,423,300",CNY,"1,096,500.10 0.03"
PETROCHINA 'H',"11,434,000","3,610,000","3,132,000","11,912,000",HKD,"5,301,848.63 0.14"
PHARMARON BEIJING 144A S 'H',"56,800",0,0,"56,800",HKD,"876,449.96 0.02"
PHARMARON BEIJING 'A',0,"23,800",0,"23,800",CNY,"527,542.72 0.01"
PICC HOLDING 'A',"341,000",0,0,"341,000",CNY,"251,468.14 0.01"
PICC PROPERTY AND CASUALTY 'H',"3,325,354","402,000","368,000","3,359,354",HKD,"2,744,785.23 0.07"
PING AN BANK 'A',"582,900","127,400","112,700","597,600",CNY,"1,545,249.22 0.04"
PING AN INSURANCE 'A',"314,823","44,800","30,200","329,423",CNY,"2,605,561.64 0.07"
PING AN INSURANCE 'H',"2,871,500","471,000","307,500","3,035,000",HKD,"21,858,563.65 0.57"
POLY DEVELOP HLDGS GROUP 'A',"348,400",0,0,"348,400",CNY,"854,413.02 0.02"
POLY PROPERTY SERVICES 'H',"68,349",0,"68,349",0,HKD,0.00 0.00
POSTAL SAVINGS BANK 'A',"520,400","805,500","404,900","921,000",CNY,"736,988.21 0.02"
POSTAL SAVINGS BK CN 'H'-144A/S,"4,918,000","498,000","1,549,000","3,867,000",HKD,"2,713,155.36 0.07"
POWER CONSTRUCTION CORP CHINA 'A',"385,500",0,0,"385,500",CNY,"488,727.16 0.01"
PROYA COSMETIC 'A',0,"11,000",0,"11,000",CNY,"359,528.68 0.01"
QINGDAO RURAL COMMERCIAL BANK 'A',"158,700",0,0,"158,700",CNY,"96,115.84 0.00"
RAYTRON TECHNOLOGY 'A',0,"20,000",0,"20,000",CNY,"246,557.08 0.01"
RISESUN REAL ESTATE DEVELOPMENT 'A',"82,500",0,0,"82,500",CNY,"56,308.50 0.00"
RONGSHENG PETRO CHEMICAL 'A',"122,600","161,350",0,"283,950",CNY,"809,074.39 0.02"
S.F. HOLDING 'A',"93,000","57,400",0,"150,400",CNY,"1,626,386.80 0.04"
SAIC MOTOR 'A',"231,100",0,0,"231,100",CNY,"748,048.76 0.02"
SAILUN GROUP 'A',0,"160,500",0,"160,500",CNY,"372,455.12 0.01"
SANAN OPTOELECTRONICS 'A',"117,024",0,"117,024",0,CNY,0.00 0.00
SANGFOR TECHNOLOGIES 'A',"11,800",0,0,"11,800",CNY,"353,627.56 0.01"
SANY HEAVY INDUSTRY 'A',"273,000",0,"54,200","218,800",CNY,"782,731.66 0.02"
SC NEW ENERGY 'A',0,"79,200",0,"79,200",CNY,"329,680.43 0.01"
SDIC CAPITAL 'A',"85,900","44,668",0,"130,568",CNY,"168,398.92 0.00"
SDIC POWER HOLDINGS 'A',"221,300",0,"221,300",0,CNY,0.00 0.00
SEALAND SECURITIES 'A',"198,770",0,0,"198,770",CNY,"128,180.92 0.00"
SEAZEN HOLDINGS 'A',"89,700","49,800","52,700","86,800",CNY,"396,726.26 0.01"
SG MICRO 'A',"1,625","11,162","6,300","6,487",CNY,"314,509.03 0.01"
SHAANXI COAL INDUSTRY COMPANY 'A',"528,900","397,000","925,900",0,CNY,0.00 0.00
SHANDONG BUCHANG PHARMA. 'A',"35,200",0,0,"35,200",CNY,"116,479.63 0.00"
SHANDONG GOLD MINING 'A',"101,528",0,0,"101,528",CNY,"299,803.15 0.01"
SHANDONG GOLD MINING 'H',"313,500",0,0,"313,500",HKD,"536,421.95 0.01"
SHANDONG HUALU-HENGSHENG 'A' -PROV-,0,"12,630","12,630",0,CNY,0.00 0.00
SHANDONG HUALU-HENGSHENG CHEM. 'A',"42,100","12,630",0,"54,730",CNY,"268,782.21 0.01"
SHANDONG LINGLONG TYRE 'A',"33,800",0,0,"33,800",CNY,"193,836.17 0.01"
SHANDONG NANSHAN ALUMINUM 'A',"332,400",0,0,"332,400",CNY,"245,647.68 0.01"
SHANDONG SINOCERA FUNCT.MAT. 'A',"31,000",0,"31,000",0,CNY,0.00 0.00
SHANDONG SUNPAPER CO 'A',"79,900",0,0,"79,900",CNY,"144,044.79 0.00"
SHANDONG WEIGAO GR.MEDIC.POL. 'H',"1,144,000",0,0,"1,144,000",HKD,"1,427,749.54 0.04"
SHANGAI BAIRUM INVESTMENT 'A',0,"26,180",0,"26,180",CNY,"245,764.63 0.01"
SHANGHAI BAOSIGHT SOFTWARE 'A',"20,300","6,090",0,"26,390",CNY,"251,876.67 0.01"
SHANGHAI BAOSIGHT SOFTWARE 'B',0,"222,000",0,"222,000",USD,"1,071,594.00 0.03"
"",31.12.2020 /,Käufe,Verkäufe,31.12.2021 /,Währung,Marktwert fortune totale du
"",Gesamtsumme,,,Gesamtsumme,,(en / in USD) compartiment /
"",zum 31.12.2020,,,zum 31.12.2021,,% des Vermögens
"",,,,,,des Teilvermögens
SHANGHAI CONSTRUCTION 'A',"207,900",0,0,"207,900",CNY,"117,432.34 0.00"
SHANGHAI ELECTRIC GROUP 'A',"200,100",0,0,"200,100",CNY,"152,585.79 0.00"
SHANGHAI FOSUN PHARMA.'A',"75,300","42,500","40,600","77,200",CNY,"592,805.20 0.02"
SHANGHAI FOSUN PHARMACEUTICAL 'H',"285,000",0,"73,000","212,000",HKD,"934,062.13 0.02"
SHANGHAI INTERNATIONAL AIRPORT 'A',"24,600",0,0,"24,600",CNY,"180,214.49 0.00"
SHANGHAI INTERNATIONAL PORT 'A',"277,400",0,0,"277,400",CNY,"238,516.13 0.01"
SHANGHAI JAHWA UNITED 'A',"22,900",0,0,"22,900",CNY,"145,196.14 0.00"
SHANGHAI JIN JIAN INTL HOTEL 'A',0,"41,000",0,"41,000",CNY,"376,974.70 0.01"
SHANGHAI JUNSHI BIOSCIENCES 'A',0,"37,858",0,"37,858",CNY,"397,862.99 0.01"
SHANGHAI LUJIAZUI FINANCE 'B',"559,508",0,0,"559,508",USD,"509,711.79 0.01"
SHANGHAI M&G STATIONERY 'A',"29,400",0,0,"29,400",CNY,"297,580.94 0.01"
SHANGHAI PHARMACEUTICAL 'A',"40,300",0,0,"40,300",CNY,"125,641.66 0.00"
SHANGHAI PHARMACEUTICALS 'H',"467,500","198,700","169,600","496,600",HKD,"941,443.61 0.02"
SHANGHAI PUDONG DEVELOPMENT BK 'A',"925,600","255,200","216,600","964,200",CNY,"1,290,466.97 0.03"
SHANGHAI PUTAILAI NEW EN.'A' -PROV-,0,"5,200","5,200",0,CNY,0.00 0.00
SHANGHAI PUTAILAI NEW ENERGY 'A',"13,000","5,200",0,"18,200",CNY,"458,642.93 0.01"
SHANGHAI RAAS BLOOD PRODUCTS 'A',"253,000",0,0,"253,000",CNY,"270,729.53 0.01"
SHANGHAI YUYUAN TOUR.SUPER BAZAR'A',"90,700",0,0,"90,700",CNY,"146,580.18 0.00"
SHANGHAI ZHANGJIANG HI-T.P.DEV. 'A',"49,200",0,0,"49,200",CNY,"116,257.45 0.00"
SHANXI MEIJIN ENERGY 'A',0,"776,600","560,900","215,700",CNY,"549,287.10 0.01"
SHANXI SECURITIES CO 'A',"124,540",0,0,"124,540",CNY,"128,968.47 0.00"
SHANXI TAIGANG STAINLESS STELL 'A',"178,400",0,0,"178,400",CNY,"197,059.89 0.01"
SHANXI XINGHUACUN FEN WINE 'A',"27,800","15,920","6,000","37,720",CNY,"1,868,904.20 0.05"
SHANXI XINGHUACUN FEN WINE 'A',0,"8,720","8,720",0,CNH,0.00 0.00
SHENERGY 'A',"121,700","366,300","488,000",0,CNY,0.00 0.00
SHENGHE RESOURCES HOLDING CO 'A',0,"97,400",0,"97,400",CNY,"299,839.40 0.01"
SHENGYI TECHNOLOGY 'A',"63,600",0,0,"63,600",CNY,"235,005.90 0.01"
SHENNAN CIRCUITS 'A',"13,160",0,0,"13,160",CNY,"251,538.94 0.01"
SHENWAN HONGYUAN 'A',"665,900",0,0,"665,900",CNY,"534,945.71 0.01"
SHENZEN GOODIX TECHNOLOGY 'A',"10,500",0,0,"10,500",CNY,"177,548.87 0.00"
SHENZHEN AIRPORT 'A',"74,500",0,"74,500",0,CNY,0.00 0.00
SHENZHEN CAPCHEM TECH. 'A',0,"19,300",0,"19,300",CNY,"342,189.35 0.01"
SHENZHEN CHENGXIN LITHIUM 'A',0,"38,397",0,"38,397",CNY,"349,125.42 0.01"
SHENZHEN ENERGY GROUP 'A',"419,700","393,800","813,500",0,CNY,0.00 0.00
SHENZHEN HEPALINK PHARMA 'A',"41,900",0,"41,900",0,CNY,0.00 0.00
SHENZHEN INOVANCE TECH 'A' -PROV-,0,"22,700","22,700",0,CNY,0.00 0.00
SHENZHEN INOVANCE TECHNOLOGY 'A',"45,400","22,700",0,"68,100",CNY,"732,996.61 0.02"
SHENZHEN KAIFA TECHNOLOGY 'A',"96,600",0,0,"96,600",CNY,"240,083.90 0.01"
SHENZHEN KANGTAI BIOLOGICA 'A',"17,200",0,0,"17,200",CNY,"265,932.70 0.01"
SHENZHEN KEDALI INDUSTRY 'A',0,"12,800",0,"12,800",CNY,"322,019.81 0.01"
SHENZHEN MINDRAY BIO-MED. 'A',"30,300","11,000","5,700","35,600",CNY,"2,127,049.88 0.06"
SHENZHEN NEW INDUST.BIOMEDICAL 'A',0,"50,700",0,"50,700",CNY,"350,416.55 0.01"
SHENZHEN OVERSEAS CHINESE TOWN 'A',"300,900",0,0,"300,900",CNY,"332,372.88 0.01"
SHENZHEN SALUBRIS PHARMA 'A',0,"62,800","62,800",0,CNY,0.00 0.00
SHENZHEN SC NEW ENERGY 'A',"20,500",0,"16,600","3,900",CNY,"69,942.57 0.00"
SHENZHEN SENIOR TECH. MATERIAL 'A',0,"48,600",0,"48,600",CNY,"280,083.76 0.01"
SHENZHEN SUNWAY COMMUNICATION 'A',"36,200",0,0,"36,200",CNY,"143,814.61 0.00"
SHENZHEN TRANSSION 'A',0,"25,904",0,"25,904",CNY,"637,706.01 0.02"
SHIJIAZHUANG YILING PHARMA 'A',0,"74,600","74,600",0,CNY,0.00 0.00
SIASUN ROBOT & AUTOMATION 'A',"52,000",0,"52,000",0,CNY,0.00 0.00
SICHUAN CHUANTOU ENERGY 'A',"303,800","556,410","392,200","468,010",CNY,"917,901.08 0.02"
"",31.12.2020 /,Käufe,Verkäufe,31.12.2021 /,Währung,Marktwert fortune totale du
"",Gesamtsumme,,,Gesamtsumme,,(en / in USD) compartiment /
"",zum 31.12.2020,,,zum 31.12.2021,,% des Vermögens
"",,,,,,des Teilvermögens
SICHUAN KELUN PHARMACEUTICAL 'A',"29,100",0,0,"29,100",CNY,"86,431.96 0.00"
SICHUAN ROAD & BRIDGE 'A',0,"201,400",0,"201,400",CNY,"380,466.73 0.01"
SICHUAN SWELLFUN 'A',"12,400",0,0,"12,400",CNY,"233,451.93 0.01"
SICHUAN YAHUA INDUSTRIAL GP 'A',0,"74,800",0,"74,800",CNY,"336,363.23 0.01"
SIEYUAN ELECTRIC 'A',0,"41,217",0,"41,217",CNY,"318,244.19 0.01"
SINNET TECHNOLOGY 'A',"37,400",0,0,"37,400",CNY,"87,083.57 0.00"
SINOLINK SECURITIES 'A',"85,800",0,0,"85,800",CNY,"152,527.42 0.00"
SINOMA SCIENCE & TECHNOLOGY 'A',0,"79,200",0,"79,200",CNY,"422,756.43 0.01"
SINOPEC SHANGHAI PETROCHEMICAL 'A',"183,600",0,0,"183,600",CNY,"120,126.68 0.00"
SINOPHARM GROUP 'H',"665,600","148,400","148,400","665,600",HKD,"1,447,945.87 0.04"
SKSHU PAINT CO 'A',0,"13,731",0,"13,731",CNY,"299,789.29 0.01"
SONGCHENG PERFORMANCE DEV. 'A',"92,160",0,0,"92,160",CNY,"207,069.54 0.01"
SOOCHOW SECURITIES 'A',"107,510","32,253",0,"139,763",CNY,"194,292.78 0.01"
SOUTHWEST SECURITIES 'A',"163,900",0,0,"163,900",CNY,"136,039.60 0.00"
SPRING AIRLINES 'A',"29,300",0,"29,300",0,CNY,0.00 0.00
STARPOWER SEMICONDUCTOR 'A',0,"5,783",0,"5,783",CNY,"345,707.58 0.01"
SUNGROW POWER 'A',"47,600","14,800","18,200","44,200",CNY,"1,011,138.23 0.03"
SUNING.COM 'A',"286,700",0,0,"286,700",CNY,"185,334.23 0.00"
SUNWODA ELECTRONIC 'A',"46,000",0,0,"46,000",CNY,"304,291.04 0.01"
SUZHOU DONGSHAN PRECISION 'A',"37,800",0,0,"37,800",CNY,"160,728.11 0.00"
SUZHOU GOLD MANTIS CONSTR.DECOR.'A',"92,000",0,"92,000",0,CNY,0.00 0.00
SUZHOU MAXWELL TECH. 'A',0,"3,000",0,"3,000",CNY,"302,336.03 0.01"
SUZHOU TA&A ULTRA CLEAN TECH. 'A',0,"22,900",0,"22,900",CNY,"291,039.03 0.01"
TANGSHAN JIDONG CEMENT 'A',"48,800",0,"48,800",0,CNY,0.00 0.00
TBEA 'A',"110,000",0,0,"110,000",CNY,"365,379.59 0.01"
TCL TECHNOLOGY GROUP 'A',"377,900",0,0,"377,900",CNY,"365,841.35 0.01"
THE PACIFIC SECURITIES 'A',"216,900",0,"216,900",0,CNY,0.00 0.00
THUNDER SOFWARE TECHNOLOGY 'A',"12,200",0,0,"12,200",CNY,"264,965.55 0.01"
TIANFENG SEC. 'A',0,"577,200",0,"577,200",CNY,"366,785.43 0.01"
TIANJIN ZHONGHUAN SEMICONDUCTOR 'A',"69,400",0,0,"69,400",CNY,"454,618.06 0.01"
TIANMA MICROELECTRONICS 'A',"49,400",0,0,"49,400",CNY,"100,918.01 0.00"
TIANSHAN ALUM 'A',0,"272,800",0,"272,800",CNY,"348,845.17 0.01"
TIANSHUI HUATIAN 'A',"36,921",0,0,"36,921",CNY,"73,629.14 0.00"
TOLY BREAD 'A',"14,700","5,880",0,"20,580",CNY,"91,705.30 0.00"
TONGFU MICROELECTRONIC 'A',0,"79,000",0,"79,000",CNY,"240,841.11 0.01"
TONGHUA DONGBAO PHARMACEUTICAL 'A',"48,100",0,"48,100",0,CNY,0.00 0.00
TONGKUN GROUP CO 'A',"54,300",0,0,"54,300",CNY,"180,449.85 0.00"
TONGLING NONFERROUS METALS GRP 'A',"330,900",0,0,"330,900",CNY,"180,678.61 0.00"
TONGWEI 'A',"111,000",0,0,"111,000",CNY,"783,032.91 0.02"
TOPCHOICE MEDICAL INV. 'A',"6,600",0,0,"6,600",CNY,"206,076.16 0.01"
TRANSFAR ZHILIAN 'A',"99,600",0,0,"99,600",CNY,"135,959.43 0.00"
TRAVELSKY TECHNOLOGY 'H',"394,000",0,0,"394,000",HKD,"663,045.33 0.02"
TSINGTAO BREWERY 'A',"13,600",0,0,"13,600",CNY,"211,253.95 0.01"
TSINGTAO BREWERY 'H',"212,000","72,000",0,"284,000",HKD,"2,659,220.59 0.07"
UNIGROUP GUOXIN MICROELECTRON. 'A',"16,100",0,0,"16,100",CNY,"568,380.45 0.01"
UNISPLENDOUR CORP 'A',"70,840",0,0,"70,840",CNY,"253,977.65 0.01"
USI (SH) 'A',"45,100",0,0,"45,100",CNY,"113,645.65 0.00"
VENUS MEDTECH HANGZHOU 'H',0,"148,500",0,"148,500",HKD,"563,808.12 0.01"
VENUSTECH GROUP 'A',"21,100",0,"21,100",0,CNY,0.00 0.00
VISIONOX TECHNOLOGY 'A',"44,400",0,"44,400",0,CNY,0.00 0.00
WALVAX BIOTECHNOLOGY 'A',"45,200",0,0,"45,200",CNY,"398,570.81 0.01"
"",31.12.2020 /,Käufe,Verkäufe,31.12.2021 /,Währung,Marktwert fortune totale du
"",Gesamtsumme,,,Gesamtsumme,,(en / in USD) compartiment /
"",zum 31.12.2020,,,zum 31.12.2021,,% des Vermögens
"",,,,,,des Teilvermögens
WANGFUJING GROUP 'A',0,"73,200","73,200",0,CNY,0.00 0.00
WANGSU SCIENCE & TECHNOLOGY 'A',"80,300",0,"80,300",0,CNY,0.00 0.00
WANHUA CHEMICAL GROUP 'A',"96,300",0,0,"96,300",CNY,"1,526,083.85 0.04"
WEICHAI POWER 'A',"203,300",0,0,"203,300",CNY,"570,661.34 0.01"
WEICHAI POWER 'H',"914,400",0,0,"914,400",HKD,"1,789,797.58 0.05"
WEIHAI GUANGWEI COMPOSITES 'A',"18,500",0,0,"18,500",CNY,"245,220.27 0.01"
WENS FOODSTUFF 'A',"187,920",0,0,"187,920",CNY,"567,884.51 0.01"
WESTERN SECURITITES CO 'A',"81,600",0,0,"81,600",CNY,"103,322.39 0.00"
WESTERN SUPERCONDUCTING TECH. 'A',0,"25,161",0,"25,161",CNY,"382,702.81 0.01"
WESTONE INFORMATION INDUSTRY 'A',0,"37,700",0,"37,700",CNY,"330,898.31 0.01"
WILL SEMICONDUCTOR 'A',"29,000","7,300","7,100","29,200",CNY,"1,423,812.09 0.04"
WINGTECH TECHNOLOGY 'A',"30,000",0,0,"30,000",CNY,"608,626.02 0.02"
WINNING HEALTH 'A',"57,070",0,0,"57,070",CNY,"150,076.48 0.00"
WUCHAN ZHONGDA GR. 'A',"137,900",0,0,"137,900",CNY,"128,090.44 0.00"
WUHAN GUIDE INFRARED 'A',"61,370","24,548",0,"85,918",CNY,"326,369.59 0.01"
WUHU SANQI INTER ENT NET TECH G 'A',"43,300",0,0,"43,300",CNY,"183,570.96 0.00"
WULIANGYE YIBIN 'A',"112,500","17,300","15,000","114,800",CNY,"4,010,650.60 0.11"
WUS PRINTED CIRCUIT (KUNSHAN) 'A',"64,600","6,460",0,"71,060",CNY,"184,858.94 0.00"
WUXI APPTEC 'A',"58,996","11,799",0,"70,795",CNY,"1,317,178.91 0.03"
WUXI APPTEC 'H' 144A/S,"134,440","55,308","17,400","172,348",HKD,"2,984,373.54 0.08"
WUXI APPTEC 'H' 144A/S -PROV-,0,"23,408","23,408",0,HKD,0.00 0.00
WUXI LEAD INTELLIGENT 'A',"18,900","11,340",0,"30,240",CNY,"352,866.40 0.01"
WUXI SHANGJI AUTOMATION 'A',0,"15,300","8,900","6,400",CNY,"167,677.65 0.00"
XCMG CONSTRUCTION MACHINERY 'A',"241,900",0,0,"241,900",CNY,"227,349.20 0.01"
XIAMEN C & D 'A',"89,500",0,0,"89,500",CNY,"127,368.21 0.00"
XIAMEN FARATRONIC 'A',0,"9,200",0,"9,200",CNY,"335,470.77 0.01"
XIAMEN TUNGSTEN 'A',"56,600",0,0,"56,600",CNY,"200,970.23 0.01"
XINHU ZHONGBAO 'A',"184,000",0,"184,000",0,CNY,0.00 0.00
XINJIANG GOLDWIND SCIEN. & TECH.'A',"100,600",0,0,"100,600",CNY,"259,969.45 0.01"
XINJIANG GOLDWIND SCIENCE&TECH. 'H',"454,932",0,"153,400","301,532",HKD,"588,655.53 0.02"
YANGO GROUP 'A',"107,600",0,"107,600",0,CNY,0.00 0.00
YANJING BREWERY 'A',"118,100",0,"118,100",0,CNY,0.00 0.00
YANTAI EDDIE PRECISION MAC. 'A',"38,000","4,800","26,000","16,800",CNY,"84,140.08 0.00"
YANTAI JEREH OILFIELD SERVICES 'A',"83,400","174,700","117,800","140,300",CNY,"880,538.60 0.02"
YEALINK NETWORK 'A',"15,300",0,0,"15,300",CNY,"195,529.93 0.01"
YIFAN PHARMACEUTICAL 'A',"50,700",0,"50,700",0,CNY,0.00 0.00
YIFENG PHARMACY CHAIN 'A',"12,434","3,730",0,"16,164",CNY,"139,768.72 0.00"
YIHAI KERRY ARAWANA 'A',0,"42,000",0,"42,000",CNY,"414,703.55 0.01"
YINTAI RESOURCES 'A',"80,080",0,0,"80,080",CNY,"110,318.75 0.00"
YONGHUI SUPERSTORES 'A',"282,000",0,0,"282,000",CNY,"179,198.71 0.00"
YONGXING SPECIAL MATERIALS TECH 'A',0,"16,400",0,"16,400",CNY,"380,885.98 0.01"
YONYOU NETWORK TECHNOLOGY 'A',"118,040",0,0,"118,040",CNY,"664,526.60 0.02"
YOUNGOR GROUP 'A',"22,100",0,0,"22,100",CNY,"23,891.43 0.00"
YTO EXPRESS GROUP 'A',0,"144,800",0,"144,800",CNY,"378,961.72 0.01"
YUAN LONGPING HIGH-TECH AGRI. 'A',"56,000",0,0,"56,000",CNY,"204,375.33 0.01"
YUNDA HOLDING 'A',"70,720",0,0,"70,720",CNY,"227,027.58 0.01"
